bg/ex1/01_roc_r2/dun/r2d1/level	TT1021
bg/ex1/01_roc_r2/dun/r2d2/level	TT513
bg/ex1/01_roc_r2/dun/r2d3/level	TT1113
bg/ex1/01_roc_r2/evt/r2e1/level	TT427
bg/ex1/01_roc_r2/evt/r2e2/level	STAGE:1-CHIP
bg/ex1/01_roc_r2/evt/r2e3/level	TT428
bg/ex1/01_roc_r2/evt/r2e4/level	TT433
bg/ex1/01_roc_r2/evt/r2e5/level	TT439
bg/ex1/01_roc_r2/evt/r2e6/level	TT440
bg/ex1/01_roc_r2/evt/r2e7/level	STAGE:1-CHIP
bg/ex1/01_roc_r2/evt/r2e8/level	STAGE:1-CHIP
bg/ex1/01_roc_r2/evt/r2e9/level	STAGE:1-CHIP
bg/ex1/01_roc_r2/evt/r2ea/level	TT1001
bg/ex1/01_roc_r2/fld/r2f1/level	TT397
bg/ex1/01_roc_r2/twn/r2t1/level	TT418
bg/ex1/01_roc_r2/twn/r2t2/level	TT419
bg/ex1/01_roc_r2/twn/r2ti/level	TT429
bg/ex1/02_dra_d2/alx/d2a1/level	TT442
bg/ex1/02_dra_d2/alx/d2a2/level	TT443
bg/ex1/02_dra_d2/alx/d2a3/level	TT444
bg/ex1/02_dra_d2/alx/d2a4/level	TT445
bg/ex1/02_dra_d2/alx/d2a5/level	TT520
bg/ex1/02_dra_d2/alx/d2a6/level	TT521
bg/ex1/02_dra_d2/alx/d2a7/level	TT522
bg/ex1/02_dra_d2/alx/d2a8/level	TT523
bg/ex1/02_dra_d2/alx/d2a9/level	TT580
bg/ex1/02_dra_d2/alx/d2aa/level	TT581
bg/ex1/02_dra_d2/alx/d2ab/level	TT582
bg/ex1/02_dra_d2/alx/d2ac/level	TT583
bg/ex1/02_dra_d2/alx/d2az/level	TT887
bg/ex1/02_dra_d2/dun/d2d1/level	TT673
bg/ex1/02_dra_d2/dun/d2d2/level	TT1065
bg/ex1/02_dra_d2/dun/d2d3/level	TT676
bg/ex1/02_dra_d2/dun/d2d4/level	TT511
bg/ex1/02_dra_d2/dun/d2d5/level	TT1111
bg/ex1/02_dra_d2/dun/d2d6/level	TT1112
bg/ex1/02_dra_d2/dun/d2d7/level	TT578
bg/ex1/02_dra_d2/dun/d2d8/level	TT617
bg/ex1/02_dra_d2/dun/d2d9/level	TT788
bg/ex1/02_dra_d2/evt/d2e1/level	STAGE:1-CHIP
bg/ex1/02_dra_d2/evt/d2e2/level	TT462
bg/ex1/02_dra_d2/evt/d2e3/level	TT463
bg/ex1/02_dra_d2/evt/d2e4/level	TT505
bg/ex1/02_dra_d2/evt/d2e5/level	TT553
bg/ex1/02_dra_d2/evt/d2e6/level	STAGE:1-CHIP
bg/ex1/02_dra_d2/evt/d2e7/level	TT588
bg/ex1/02_dra_d2/fld/d2f1/level	TT398
bg/ex1/02_dra_d2/fld/d2f2/level	TT399
bg/ex1/02_dra_d2/fld/d2f3/level	TT400
bg/ex1/02_dra_d2/fld/d2fa/level	TT432
bg/ex1/02_dra_d2/twn/d2t1/level	TT478
bg/ex1/03_abr_a2/dun/a2d1/level	TT560
bg/ex1/03_abr_a2/dun/a2d2/level	TT420
bg/ex1/03_abr_a2/dun/a2d3/level	TT430
bg/ex1/03_abr_a2/dun/a2d4/level	TT743
